size,n_neurons,n_patterns,noise_level,noise_percent,repetitions,correct,total_trials,accuracy,mean_bit_accuracy,std_bit_accuracy
7,49,1,0.05,5,10,10,10,1.0,1.0,0.0
7,49,1,0.1,10,10,10,10,1.0,1.0,0.0
7,49,1,0.15,15,10,10,10,1.0,1.0,0.0
7,49,2,0.05,5,10,20,20,1.0,1.0,0.0
7,49,2,0.1,10,10,20,20,1.0,1.0,0.0
7,49,2,0.15,15,10,19,20,0.95,0.9979591836734695,0.008895712129674853
7,49,3,0.05,5,10,0,30,0.0,0.9319727891156463,0.04193478913584338
7,49,3,0.1,10,10,0,30,0.0,0.9319727891156463,0.04193478913584338
7,49,3,0.15,15,10,0,30,0.0,0.9319727891156463,0.04193478913584338
7,49,4,0.05,5,10,10,40,0.25,0.9454081632653061,0.039093087254062284
7,49,4,0.1,10,10,8,40,0.2,0.9454081632653061,0.03690084307855812
7,49,4,0.15,15,10,10,40,0.25,0.95,0.03843838408538237
7,49,5,0.05,5,10,0,50,0.0,0.930612244897959,0.03315934042708556
7,49,5,0.1,10,10,0,50,0.0,0.930612244897959,0.03315934042708556
7,49,5,0.15,15,10,0,50,0.0,0.930612244897959,0.03315934042708556
7,49,6,0.05,5,10,9,60,0.15,0.960204081632653,0.027988464730844483
7,49,6,0.1,10,10,9,60,0.15,0.9591836734693877,0.028376399475665576
7,49,6,0.15,15,10,10,60,0.16666666666666666,0.9564625850340135,0.03105499921228115
7,49,7,0.05,5,10,0,70,0.0,0.9271137026239066,0.030577517439363027
7,49,7,0.1,10,10,0,70,0.0,0.9279883381924195,0.030606691152467558
7,49,7,0.15,15,10,0,70,0.0,0.928279883381924,0.03041586322039645
7,49,8,0.05,5,10,0,80,0.0,0.9336734693877551,0.03345631900154082
7,49,8,0.1,10,10,0,80,0.0,0.9336734693877551,0.03345631900154082
7,49,8,0.15,15,10,0,80,0.0,0.9336734693877551,0.03345631900154082
7,49,9,0.05,5,10,0,90,0.0,0.9281179138321994,0.0361541142296458
7,49,9,0.1,10,10,0,90,0.0,0.9310657596371883,0.03368243923379074
7,49,9,0.15,15,10,0,90,0.0,0.9326530612244898,0.0332499303669386
7,49,10,0.05,5,10,6,100,0.06,0.9397959183673469,0.03811193754486346
7,49,10,0.1,10,10,8,100,0.08,0.9381632653061225,0.040964526867454304
7,49,10,0.15,15,10,4,100,0.04,0.9383673469387754,0.03729504591514237
7,49,11,0.05,5,10,0,110,0.0,0.9298701298701298,0.032737283859165536
7,49,11,0.1,10,10,0,110,0.0,0.92987012987013,0.034096935087673884
7,49,11,0.15,15,10,0,110,0.0,0.92987012987013,0.03486558759933023
7,49,12,0.05,5,10,8,120,0.06666666666666667,0.9409863945578231,0.03361630205424325
7,49,12,0.1,10,10,9,120,0.075,0.9374149659863946,0.03329860748440929
7,49,12,0.15,15,10,9,120,0.075,0.936904761904762,0.03515063806240475
7,49,13,0.05,5,10,7,130,0.05384615384615385,0.921193092621664,0.04447883768619502
7,49,13,0.1,10,10,7,130,0.05384615384615385,0.9241758241758241,0.045930374525334744
7,49,13,0.15,15,10,7,130,0.05384615384615385,0.9244897959183673,0.045679651603264065
7,49,14,0.05,5,10,0,140,0.0,0.9295918367346938,0.04419843342500914
7,49,14,0.1,10,10,0,140,0.0,0.9288629737609329,0.04624829410986222
7,49,14,0.15,15,10,0,140,0.0,0.930466472303207,0.04470515377349942
7,49,15,0.05,5,10,20,150,0.13333333333333333,0.9221768707482993,0.04877432422015659
7,49,15,0.1,10,10,10,150,0.06666666666666667,0.920544217687075,0.04801468299344278
7,49,15,0.15,15,10,12,150,0.08,0.9190476190476192,0.05050991777101107
